col0,col1
57.91333,-4.619435
57.91333,-4.419435
57.91333,-4.219435
57.91333,-4.019435
57.91333,-3.819435
57.91333,-3.619435
58.11333,-7.419435
58.11333,-7.219435
58.11333,-7.019435
58.11333,-6.819435
58.11333,-6.619435
58.11333,-6.419435
58.11333,-6.219435
58.11333,-6.019435
58.11333,-5.619435
58.11333,-5.419435
58.11333,-5.219435
58.11333,-5.019435
58.11333,-4.819435
58.11333,-4.619435
58.11333,-4.419435
58.11333,-4.219435
58.11333,-4.019435
58.11333,-3.819435
58.11333,-3.619435
58.11333,-3.419435
58.31333,-7.819435
58.31333,-7.619435
58.31333,-7.419435
58.31333,-7.219435
58.31333,-7.019435
58.31333,-6.819435
58.31333,-6.619435
58.31333,-6.419435
58.31333,-6.219435
58.31333,-6.019435
58.31333,-5.619435
58.31333,-5.419435
58.31333,-5.219435
58.31333,-5.019435
58.31333,-4.819435
58.31333,-4.619435
58.31333,-4.419435
58.31333,-4.219435
58.31333,-4.019435
58.31333,-3.819435
58.31333,-3.619435
58.31333,-3.419435
58.31333,-3.219435
58.31333,-3.019435
58.51333,-6.619435
58.51333,-6.419435
58.51333,-6.219435
58.51333,-6.019435
58.51333,-5.219435
58.51333,-5.019435
58.51333,-4.819435
58.51333,-4.619435
58.51333,-4.419435
58.51333,-4.219435
58.51333,-4.019435
58.51333,-3.819435
58.51333,-3.619435
58.51333,-3.419435
58.51333,-3.219435
58.51333,-3.019435
58.51333,-2.819435
58.71333,-5.219435
58.71333,-5.019435
58.71333,-4.819435
58.71333,-4.619435
58.71333,-4.419435
58.71333,-4.019435
58.71333,-3.819435
58.71333,-3.619435
58.71333,-3.419435
58.71333,-3.219435
58.71333,-3.019435
58.71333,-2.819435
58.91333,-4.619435
58.91333,-4.419435
58.91333,-3.619435
58.91333,-3.419435
58.91333,-3.219435
58.91333,-3.019435
58.91333,-2.819435
58.91333,-2.619435
58.91333,-2.419435
59.11333,-6.419435
59.11333,-6.219435
59.11333,-6.019435
59.11333,-5.819435
59.11333,-5.619435
59.11333,-4.619435
59.11333,-4.419435
59.11333,-4.219435
59.11333,-3.619435
59.11333,-3.419435
59.11333,-3.219435
59.11333,-3.019435
59.11333,-2.819435
59.11333,-2.619435
59.11333,-2.419435
59.31333,-3.219435
59.31333,-3.019435
59.31333,-2.819435
59.31333,-2.619435
59.31333,-2.419435
59.31333,-2.219435
